"solution","fe_degree","Points:0","Points:1","Points:2"
-0.43157,5,-0.35,-0.9,-0.43157
-0.27534,5,-0.4,-0.85,-0.27534
-0.40451,5,-0.35,-0.85,-0.40451
-0.43157,5,-0.35,-0.9,-0.43157
-0.55876,5,-0.3,-0.9,-0.55876
-0.40451,5,-0.35,-0.85,-0.40451
-0.52373,5,-0.3,-0.85,-0.52373
-0.27533,5,-0.4,-0.85,-0.27533
-0.4045,5,-0.35,-0.85,-0.4045
-0.25,5,-0.4,-0.8,-0.25
-0.36729,5,-0.35,-0.8,-0.36729
-0.4045,5,-0.35,-0.85,-0.4045
-0.52371,5,-0.3,-0.85,-0.52371
-0.36729,5,-0.35,-0.8,-0.36729
-0.47553,5,-0.3,-0.8,-0.47553
-0.55876,5,-0.3,-0.9,-0.55876
-0.67219,5,-0.25,-0.9,-0.67219
-0.52373,5,-0.3,-0.85,-0.52373
-0.63004,5,-0.25,-0.85,-0.63004
-0.67219,5,-0.25,-0.9,-0.67219
-0.76907,5,-0.2,-0.9,-0.76907
-0.63004,5,-0.25,-0.85,-0.63004
-0.72085,5,-0.2,-0.85,-0.72085
-0.52371,5,-0.3,-0.85,-0.52371
-0.63003,5,-0.25,-0.85,-0.63003
-0.47553,5,-0.3,-0.8,-0.47553
-0.57206,5,-0.25,-0.8,-0.57206
-0.63003,5,-0.25,-0.85,-0.63003
-0.72083,5,-0.2,-0.85,-0.72083
-0.57206,5,-0.25,-0.8,-0.57206
-0.65451,5,-0.2,-0.8,-0.65451
-0.29736,5,-0.2,-1,-0.29736
-0.32749,5,-0.15,-1,-0.32749
-0.81253,5,-0.2,-0.95,-0.81253
-0.89488,5,-0.15,-0.95,-0.89488
-0.32749,5,-0.15,-1,-0.32749
-0.34956,5,-0.1,-1,-0.34956
-0.89488,5,-0.15,-0.95,-0.89488
-0.95519,5,-0.1,-0.95,-0.95519
-0.78558,5,-0.2,-0.95,-0.78558
-0.8652,5,-0.15,-0.95,-0.8652
-0.76978,5,-0.2,-0.9,-0.76978
-0.84779,5,-0.15,-0.9,-0.84779
-0.8652,5,-0.15,-0.95,-0.8652
-0.92351,5,-0.1,-0.95,-0.92351
-0.84779,5,-0.15,-0.9,-0.84779
-0.90493,5,-0.1,-0.9,-0.90493
-0.34956,5,-0.1,-1,-0.34956
-0.36303,5,-0.05,-1,-0.36303
-0.95519,5,-0.1,-0.95,-0.95519
-0.99198,5,-0.05,-0.95,-0.99198
-0.36303,5,-0.05,-1,-0.36303
-0.36755,5,0,-1,-0.36755
-0.99198,5,-0.05,-0.95,-0.99198
-1.0043,5,0,-0.95,-1.0043
-0.92351,5,-0.1,-0.95,-0.92351
-0.95908,5,-0.05,-0.95,-0.95908
-0.90493,5,-0.1,-0.9,-0.90493
-0.93978,5,-0.05,-0.9,-0.93978
-0.95908,5,-0.05,-0.95,-0.95908
-0.97103,5,0,-0.95,-0.97103
-0.93978,5,-0.05,-0.9,-0.93978
-0.95149,5,0,-0.9,-0.95149
-0.76907,5,-0.2,-0.9,-0.76907
-0.84701,5,-0.15,-0.9,-0.84701
-0.72085,5,-0.2,-0.85,-0.72085
-0.7939,5,-0.15,-0.85,-0.7939
-0.84701,5,-0.15,-0.9,-0.84701
-0.90409,5,-0.1,-0.9,-0.90409
-0.7939,5,-0.15,-0.85,-0.7939
-0.84741,5,-0.1,-0.85,-0.84741
-0.72083,5,-0.2,-0.85,-0.72083
-0.79388,5,-0.15,-0.85,-0.79388
-0.65451,5,-0.2,-0.8,-0.65451
-0.72084,5,-0.15,-0.8,-0.72084
-0.79388,5,-0.15,-0.85,-0.79388
-0.84739,5,-0.1,-0.85,-0.84739
-0.72084,5,-0.15,-0.8,-0.72084
-0.76942,5,-0.1,-0.8,-0.76942
-0.90409,5,-0.1,-0.9,-0.90409
-0.93891,5,-0.05,-0.9,-0.93891
-0.84741,5,-0.1,-0.85,-0.84741
-0.88005,5,-0.05,-0.85,-0.88005
-0.93891,5,-0.05,-0.9,-0.93891
-0.95062,5,0,-0.9,-0.95062
-0.88005,5,-0.05,-0.85,-0.88005
-0.89102,5,0,-0.85,-0.89102
-0.84739,5,-0.1,-0.85,-0.84739
-0.88002,5,-0.05,-0.85,-0.88003
-0.76942,5,-0.1,-0.8,-0.76942
-0.79906,5,-0.05,-0.8,-0.79906
-0.88002,5,-0.05,-0.85,-0.88003
-0.89099,5,0,-0.85,-0.891
-0.79906,5,-0.05,-0.8,-0.79906
-0.80902,5,0,-0.8,-0.80902
-0.36755,5,0,-1,-0.36755
-0.36303,5,0.05,-1,-0.36303
-1.0043,5,0,-0.95,-1.0043
-0.99198,5,0.05,-0.95,-0.99198
-0.36303,5,0.05,-1,-0.36303
-0.34956,5,0.1,-1,-0.34956
-0.99198,5,0.05,-0.95,-0.99198
-0.95519,5,0.1,-0.95,-0.95519
-0.97103,5,0,-0.95,-0.97103
-0.95908,5,0.05,-0.95,-0.95908
-0.95149,5,0,-0.9,-0.95149
-0.93978,5,0.05,-0.9,-0.93978
-0.95908,5,0.05,-0.95,-0.95908
-0.92351,5,0.1,-0.95,-0.92351
-0.93978,5,0.05,-0.9,-0.93978
-0.90493,5,0.1,-0.9,-0.90493
-0.34956,5,0.1,-1,-0.34956
-0.32749,5,0.15,-1,-0.32749
-0.95519,5,0.1,-0.95,-0.95519
-0.89488,5,0.15,-0.95,-0.89488
-0.32749,5,0.15,-1,-0.32749
-0.29736,5,0.2,-1,-0.29736
-0.89488,5,0.15,-0.95,-0.89488
-0.81253,5,0.2,-0.95,-0.81253
-0.92351,5,0.1,-0.95,-0.92351
-0.8652,5,0.15,-0.95,-0.8652
-0.90493,5,0.1,-0.9,-0.90493
-0.84779,5,0.15,-0.9,-0.84779
-0.8652,5,0.15,-0.95,-0.8652
-0.78558,5,0.2,-0.95,-0.78558
-0.84779,5,0.15,-0.9,-0.84779
-0.76978,5,0.2,-0.9,-0.76978
-0.95062,5,0,-0.9,-0.95062
-0.93891,5,0.05,-0.9,-0.93891
-0.89102,5,0,-0.85,-0.89102
-0.88005,5,0.05,-0.85,-0.88005
-0.93891,5,0.05,-0.9,-0.93891
-0.90409,5,0.1,-0.9,-0.90409
-0.88005,5,0.05,-0.85,-0.88005
-0.84741,5,0.1,-0.85,-0.84741
-0.89099,5,0,-0.85,-0.891
-0.88002,5,0.05,-0.85,-0.88003
-0.80902,5,0,-0.8,-0.80902
-0.79906,5,0.05,-0.8,-0.79906
-0.88002,5,0.05,-0.85,-0.88003
-0.84739,5,0.1,-0.85,-0.84739
-0.79906,5,0.05,-0.8,-0.79906
-0.76942,5,0.1,-0.8,-0.76942
-0.90409,5,0.1,-0.9,-0.90409
-0.84701,5,0.15,-0.9,-0.84701
-0.84741,5,0.1,-0.85,-0.84741
-0.7939,5,0.15,-0.85,-0.7939
-0.84701,5,0.15,-0.9,-0.84701
-0.76907,5,0.2,-0.9,-0.76907
-0.7939,5,0.15,-0.85,-0.7939
-0.72085,5,0.2,-0.85,-0.72085
-0.84739,5,0.1,-0.85,-0.84739
-0.79388,5,0.15,-0.85,-0.79388
-0.76942,5,0.1,-0.8,-0.76942
-0.72084,5,0.15,-0.8,-0.72084
-0.79388,5,0.15,-0.85,-0.79388
-0.72083,5,0.2,-0.85,-0.72083
-0.72084,5,0.15,-0.8,-0.72084
-0.65451,5,0.2,-0.8,-0.65451
-0.29736,5,0.2,-1,-0.29736
-0.2599,5,0.25,-1,-0.2599
-0.81253,5,0.2,-0.95,-0.81253
-0.71018,5,0.25,-0.95,-0.71018
-0.2599,5,0.25,-1,-0.2599
-0.21604,5,0.3,-1,-0.21604
-0.71018,5,0.25,-0.95,-0.71018
-0.59034,5,0.3,-0.95,-0.59034
-0.78558,5,0.2,-0.95,-0.78558
-0.68662,5,0.25,-0.95,-0.68662
-0.76978,5,0.2,-0.9,-0.76978
-0.67281,5,0.25,-0.9,-0.67281
-0.68662,5,0.25,-0.95,-0.68662
-0.57076,5,0.3,-0.95,-0.57076
-0.67281,5,0.25,-0.9,-0.67281
-0.55927,5,0.3,-0.9,-0.55927
-0.21604,5,0.3,-1,-0.21604
-0.16687,5,0.35,-1,-0.16687
-0.59034,5,0.3,-0.95,-0.59034
-0.45596,5,0.35,-0.95,-0.45596
-0.16687,5,0.35,-1,-0.16687
-0.11358,5,0.4,-1,-0.11358
-0.45596,5,0.35,-0.95,-0.45596
-0.31036,5,0.4,-0.95,-0.31036
-0.57076,5,0.3,-0.95,-0.57076
-0.44084,5,0.35,-0.95,-0.44084
-0.55927,5,0.3,-0.9,-0.55927
-0.43197,5,0.35,-0.9,-0.43197
-0.44084,5,0.35,-0.95,-0.44084
-0.30007,5,0.4,-0.95,-0.30007
-0.43197,5,0.35,-0.9,-0.43197
-0.29403,5,0.4,-0.9,-0.29403
-0.76907,5,0.2,-0.9,-0.76907
-0.67219,5,0.25,-0.9,-0.67219
-0.72085,5,0.2,-0.85,-0.72085
-0.63004,5,0.25,-0.85,-0.63004
-0.67219,5,0.25,-0.9,-0.67219
-0.55876,5,0.3,-0.9,-0.55876
-0.63004,5,0.25,-0.85,-0.63004
-0.52373,5,0.3,-0.85,-0.52373
-0.72083,5,0.2,-0.85,-0.72083
-0.63003,5,0.25,-0.85,-0.63003
-0.65451,5,0.2,-0.8,-0.65451
-0.57206,5,0.25,-0.8,-0.57206
-0.63003,5,0.25,-0.85,-0.63003
-0.52371,5,0.3,-0.85,-0.52371
-0.57206,5,0.25,-0.8,-0.57206
-0.47553,5,0.3,-0.8,-0.47553
-0.55876,5,0.3,-0.9,-0.55876
-0.43157,5,0.35,-0.9,-0.43157
-0.52373,5,0.3,-0.85,-0.52373
-0.40451,5,0.35,-0.85,-0.40451
-0.43157,5,0.35,-0.9,-0.43157
-0.29376,5,0.4,-0.9,-0.29376
-0.40451,5,0.35,-0.85,-0.40451
-0.27534,5,0.4,-0.85,-0.27534
-0.52371,5,0.3,-0.85,-0.52371
-0.4045,5,0.35,-0.85,-0.4045
-0.47553,5,0.3,-0.8,-0.47553
-0.36729,5,0.35,-0.8,-0.36729
-0.4045,5,0.35,-0.85,-0.4045
-0.27533,5,0.4,-0.85,-0.27533
-0.36729,5,0.35,-0.8,-0.36729
-0.25,5,0.4,-0.8,-0.25
-0.11358,5,0.4,-1,-0.11358
-0.057498,5,0.45,-1,-0.057498
-0.31036,5,0.4,-0.95,-0.31036
-0.15711,5,0.45,-0.95,-0.15711
-0.057498,5,0.45,-1,-0.057498
-1.0347e-10,5,0.5,-1,-1.0347e-10
-0.15711,5,0.45,-0.95,-0.15711
-6.6626e-08,5,0.5,-0.95,-6.6626e-08
-0.30007,5,0.4,-0.95,-0.30007
-0.1519,5,0.45,-0.95,-0.1519
-0.29403,5,0.4,-0.9,-0.29403
-0.14885,5,0.45,-0.9,-0.14885
-0.1519,5,0.45,-0.95,-0.1519
-6.663e-08,5,0.5,-0.95,-6.663e-08
-0.14885,5,0.45,-0.9,-0.14885
-1.1365e-07,5,0.5,-0.9,-1.1365e-07
1.1819e-09,5,0.5,-1,1.1819e-09
0.057498,5,0.55,-1,0.057498
-6.7137e-08,5,0.5,-0.95,-6.7137e-08
0.15711,5,0.55,-0.95,0.15711
0.057498,5,0.55,-1,0.057498
0.11358,5,0.6,-1,0.11358
0.15711,5,0.55,-0.95,0.15711
0.31036,5,0.6,-0.95,0.31036
-6.6796e-08,5,0.5,-0.95,-6.6796e-08
0.1519,5,0.55,-0.95,0.1519
-1.1539e-07,5,0.5,-0.9,-1.1539e-07
0.14885,5,0.55,-0.9,0.14885
0.1519,5,0.55,-0.95,0.1519
0.30007,5,0.6,-0.95,0.30007
0.14885,5,0.55,-0.9,0.14885
0.29403,5,0.6,-0.9,0.29403
-0.29376,5,0.4,-0.9,-0.29376
-0.14871,5,0.45,-0.9,-0.14871
-0.27534,5,0.4,-0.85,-0.27534
-0.13939,5,0.45,-0.85,-0.13939
-0.14871,5,0.45,-0.9,-0.14871
-1.1467e-07,5,0.5,-0.9,-1.1467e-07
-0.13939,5,0.45,-0.85,-0.13939
-1.6713e-07,5,0.5,-0.85,-1.6713e-07
-0.27533,5,0.4,-0.85,-0.27533
-0.13938,5,0.45,-0.85,-0.13938
-0.25,5,0.4,-0.8,-0.25
-0.12656,5,0.45,-0.8,-0.12656
-0.13938,5,0.45,-0.85,-0.13938
-1.6763e-07,5,0.5,-0.85,-1.6763e-07
-0.12656,5,0.45,-0.8,-0.12656
-2.2204e-07,5,0.5,-0.8,-2.2204e-07
-1.1448e-07,5,0.5,-0.9,-1.1448e-07
0.14871,5,0.55,-0.9,0.14871
-1.6722e-07,5,0.5,-0.85,-1.6722e-07
0.13939,5,0.55,-0.85,0.13939
0.14871,5,0.55,-0.9,0.14871
0.29376,5,0.6,-0.9,0.29376
0.13939,5,0.55,-0.85,0.13939
0.27534,5,0.6,-0.85,0.27534
-1.6636e-07,5,0.5,-0.85,-1.6636e-07
0.13938,5,0.55,-0.85,0.13938
-2.2191e-07,5,0.5,-0.8,-2.2191e-07
0.12656,5,0.55,-0.8,0.12656
0.13938,5,0.55,-0.85,0.13938
0.27533,5,0.6,-0.85,0.27533
0.12656,5,0.55,-0.8,0.12656
0.25,5,0.6,-0.8,0.25
0.11358,5,0.6,-1,0.11358
0.16687,5,0.65,-1,0.16687
0.31036,5,0.6,-0.95,0.31036
0.45596,5,0.65,-0.95,0.45596
0.16687,5,0.65,-1,0.16687
0.21604,5,0.7,-1,0.21604
0.45596,5,0.65,-0.95,0.45596
0.59034,5,0.7,-0.95,0.59034
0.30007,5,0.6,-0.95,0.30007
0.44084,5,0.65,-0.95,0.44084
0.29403,5,0.6,-0.9,0.29403
0.43197,5,0.65,-0.9,0.43197
0.44084,5,0.65,-0.95,0.44084
0.57076,5,0.7,-0.95,0.57076
0.43197,5,0.65,-0.9,0.43197
0.55927,5,0.7,-0.9,0.55927
0.21604,5,0.7,-1,0.21604
0.2599,5,0.75,-1,0.2599
0.59034,5,0.7,-0.95,0.59034
0.71018,5,0.75,-0.95,0.71018
0.2599,5,0.75,-1,0.2599
0.29736,5,0.8,-1,0.29736
0.71018,5,0.75,-0.95,0.71018
0.81253,5,0.8,-0.95,0.81253
0.57076,5,0.7,-0.95,0.57076
0.68662,5,0.75,-0.95,0.68662
0.55927,5,0.7,-0.9,0.55927
0.67281,5,0.75,-0.9,0.67281
0.68662,5,0.75,-0.95,0.68662
0.78558,5,0.8,-0.95,0.78558
0.67281,5,0.75,-0.9,0.67281
0.76977,5,0.8,-0.9,0.76977
0.29376,5,0.6,-0.9,0.29376
0.43157,5,0.65,-0.9,0.43157
0.27534,5,0.6,-0.85,0.27534
0.40451,5,0.65,-0.85,0.40451
0.43157,5,0.65,-0.9,0.43157
0.55876,5,0.7,-0.9,0.55876
0.40451,5,0.65,-0.85,0.40451
0.52373,5,0.7,-0.85,0.52373
0.27533,5,0.6,-0.85,0.27533
0.4045,5,0.65,-0.85,0.4045
0.25,5,0.6,-0.8,0.25
0.36729,5,0.65,-0.8,0.36729
0.4045,5,0.65,-0.85,0.4045
0.52371,5,0.7,-0.85,0.52371
0.36729,5,0.65,-0.8,0.36729
0.47553,5,0.7,-0.8,0.47553
0.55876,5,0.7,-0.9,0.55876
0.67219,5,0.75,-0.9,0.67219
0.52373,5,0.7,-0.85,0.52373
0.63004,5,0.75,-0.85,0.63004
0.67219,5,0.75,-0.9,0.67219
0.76907,5,0.8,-0.9,0.76907
0.63004,5,0.75,-0.85,0.63004
0.72085,5,0.8,-0.85,0.72085
0.52371,5,0.7,-0.85,0.52371
0.63003,5,0.75,-0.85,0.63003
0.47553,5,0.7,-0.8,0.47553
0.57206,5,0.75,-0.8,0.57206
0.63003,5,0.75,-0.85,0.63003
0.72083,5,0.8,-0.85,0.72083
0.57206,5,0.75,-0.8,0.57206
0.65451,5,0.8,-0.8,0.65451
0.29736,5,0.8,-1,0.29736
0.32749,5,0.85,-1,0.32749
0.81253,5,0.8,-0.95,0.81253
0.89487,5,0.85,-0.95,0.89487
0.32749,5,0.85,-1,0.32749
0.34952,5,0.9,-1,0.34952
0.89489,5,0.85,-0.95,0.89489
0.95476,5,0.9,-0.95,0.95476
0.78558,5,0.8,-0.95,0.78558
0.86519,5,0.85,-0.95,0.86519
0.76978,5,0.8,-0.9,0.76978
0.84778,5,0.85,-0.9,0.84778
0.86521,5,0.85,-0.95,0.86521
0.92308,5,0.9,-0.95,0.92308
0.8478,5,0.85,-0.9,0.8478
0.90451,5,0.9,-0.9,0.90451
0.34933,5,0.9,-1,0.34933
0.36556,5,0.95,-1,0.36556
0.95561,5,0.9,-0.95,0.95561
0.9775,5,0.95,-0.95,0.9775
0.37393,5,0.95,-1,0.37393
0.41516,5,1,-1,0.41516
1.013,5,0.95,-0.95,1.013
0.37393,5,1,-0.95,0.37393
0.92394,5,0.9,-0.95,0.92394
0.94377,5,0.95,-0.95,0.94377
0.90535,5,0.9,-0.9,0.90535
0.92394,5,0.95,-0.9,0.92394
0.9775,5,0.95,-0.95,0.9775
0.36556,5,1,-0.95,0.36556
0.95561,5,0.95,-0.9,0.95561
0.34933,5,1,-0.9,0.34933
0.76907,5,0.8,-0.9,0.76907
0.847,5,0.85,-0.9,0.84699
0.72085,5,0.8,-0.85,0.72085
0.79389,5,0.85,-0.85,0.79389
0.84702,5,0.85,-0.9,0.84702
0.90367,5,0.9,-0.9,0.90367
0.79391,5,0.85,-0.85,0.79391
0.84702,5,0.9,-0.85,0.84702
0.72083,5,0.8,-0.85,0.72083
0.79387,5,0.85,-0.85,0.79387
0.65451,5,0.8,-0.8,0.65451
0.72083,5,0.85,-0.8,0.72083
